province,shop_name,city,address,category,lat,lon
Thua Thien Hue,Mỹ Hương,Huế,Hùng Vương,clothes,16.4661614,107.5920557
Thua Thien Hue,Anh Nguyen Tat Thanh,,,,16.468012,107.5915418
Thua Thien Hue,My family,,,,16.4498807,107.5877128
Thua Thien Hue,Nice's Coffee Shop,,Hai Bà Trưng,,16.4607006,107.589324
Thua Thien Hue,Nhà May Hoá,,"Thôn 3, Vinh Thanh, Phú Vang",,16.4329202,107.7828197
Thua Thien Hue,Nhà may Hoá,,"đường Chùa, thôn 3, huyện Phú Vang",,16.4329036,107.7828009
Thua Thien Hue,Trung Hòa Vị Dục,,,,16.4682336,107.5787643
Thua Thien Hue,Chính Trực Đãng Bình,,,,16.4678639,107.5790477
Thua Thien Hue,Romanhotel,,,,16.4753855,107.5952599
Thua Thien Hue,Healing the Wounded Heart Shop,,Võ Thị Sáu,gift,16.4686315,107.5949926
Thua Thien Hue,Tinh Hoa Art Shop,,Võ Thị Sáu,gift,16.4691657,107.5955411
Thua Thien Hue,,,,,16.4602461,107.5813604
Thua Thien Hue,Various Clothes Shops,,,clothes,16.4670118,107.5942991
Thua Thien Hue,Chợ Thanh Toàn,,,,16.4662802,107.6429665
Thua Thien Hue,Spiral Foundation,,Võ Thị Sáu,gift,16.4686119,107.5951951
Thua Thien Hue,Chợ Cống,,,,16.4701276,107.5993973
Thua Thien Hue,PNJ,,,jewelry,16.467751,107.584206
Thua Thien Hue,Vạc đồng,,,,16.4690844,107.5779533
Thua Thien Hue,Vạc đồng,,,,16.469204,107.5781398
Thua Thien Hue,Nguyệt Anh Môn,,,,16.4688755,107.5779056
Thua Thien Hue,Nhật Tinh Môn,,,,16.4692177,107.5783445
Thua Thien Hue,White Buddha,,,,16.1901873,107.8497098
Thua Thien Hue,,,,,16.1994778,107.8576739
Thua Thien Hue,,,,,16.1994243,107.8576788
Thua Thien Hue,cây cảnh Thảo Nguyên,,,,16.4649735,107.6064089
Thua Thien Hue,Con,,,,16.4335704,107.5616245
Thua Thien Hue,,,,,16.4667125,107.5768677
Thua Thien Hue,,,,,16.4669006,107.5771292
Thua Thien Hue,,,,,16.4668768,107.5770944
Thua Thien Hue,,,,,16.466852,107.5770679
Thua Thien Hue,,,,,16.4668295,107.5770333
Thua Thien Hue,,,,,16.4667347,107.5769019
Thua Thien Hue,,,,,16.4667588,107.5769341
Thua Thien Hue,,,,,16.4667826,107.5769676
Thua Thien Hue,Cao đỉnh,,,,16.4668321,107.5769794
Thua Thien Hue,,,,,16.4678092,107.575198
Thua Thien Hue,,,,,16.4682253,107.5748675
Thua Thien Hue,,,,,16.4709196,107.5784254
Thua Thien Hue,Trích Thuý Sơn,,,,16.4708817,107.5781599
Thua Thien Hue,Tiểu Hữu Thiên,,,,16.470202,107.5782242
Thua Thien Hue,Imperial Craft Bia,,Ngô Gia Tự,,16.4606237,107.590486
Thua Thien Hue,An Phước,,Hùng Vương,clothes,16.4646372,107.5937684
Thua Thien Hue,An Phước,,Hùng Vương,clothes,16.4584139,107.5976418
Thua Thien Hue,,,,,16.4686653,107.5949616
Thua Thien Hue,Amart,,,convenience,16.4699815,107.5938145
Thua Thien Hue,K-Mart,,,,16.4696627,107.5942876
Thua Thien Hue,,,,art,16.468471,107.5950399
Thua Thien Hue,Green Bamboo,,,art,16.4685271,107.5951017
Thua Thien Hue,,,,clothes,16.4684491,107.5950158
Thua Thien Hue,,,,gift,16.3884065,107.5720794
Thua Thien Hue,,,,gift,16.4707189,107.577734
Thua Thien Hue,,,,gift,16.4676103,107.576108
Thua Thien Hue,,,,gift,16.4690664,107.575513
Thua Thien Hue,Suối Khe Đầy,,,,16.3387507,107.5413496
Thua Thien Hue,Chợ Thuận Hoà,Huế,Lê Huân,,16.4681042,107.5740745
Thua Thien Hue,Boi Tran Garden,Hue,,,16.4074433,107.5846393
Thua Thien Hue,,,,,16.4120221,107.5762232
Thua Thien Hue,,,,,16.4121475,107.5762262
Thua Thien Hue,,,,,16.4120067,107.5763949
Thua Thien Hue,,,,,16.4120324,107.5760677
Thua Thien Hue,,,,clothes,16.4069697,107.679556
