item_name,shop_name,city,address,price,material,category,lat,lon
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 4C, Đoàn Kết, Sủng Là, Xã Đồng Văn, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.2567502,105.294593
None,fuel,Tuyên Quang,"TL 176, Xã Mậu Duệ, Tỉnh Tuyên Quang, Việt Nam",None,None,fuel,23.0300882,105.1937421
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 4C, Xã Phố Bảng, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.1857406,105.1966949
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 4C, Đoàn Kết, Sủng Là, Xã Sà Phìn, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.2315512,105.2121032
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, TL 176, Xã Mậu Duệ, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.0286966,105.2032432
None,fuel,Tuyên Quang,"TL 176, Xã Đường Thượng, Tỉnh Tuyên Quang, 20318, Việt Nam",None,None,fuel,22.9770892,105.240548
None,fuel,Tuyên Quang,"TL 181, Oửa Oải, Sáng Pá, Xã Lùng Tám, Tỉnh Tuyên Quang, Việt Nam",None,None,fuel,22.9811057,105.0977651
None,fuel,Tuyên Quang,"TL 181, Oửa Oải, Sáng Pá, Xã Lùng Tám, Tỉnh Tuyên Quang, Việt Nam",None,None,fuel,22.9805851,105.1409385
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, TL 181, Oửa Oải, Sáng Pá, Xã Đường Thượng, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.976151,105.1688215
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 4C, Xã Phố Bảng, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.1959221,105.1912507
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 4C, Xã Phố Bảng, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.2203824,105.1970007
None,gift,Tuyên Quang,"Quốc lộ 4C, Đoàn Kết, Sủng Là, Xã Sà Phìn, Tỉnh Tuyên Quang, Việt Nam",None,None,gift,23.2261899,105.2026934
10k,ticket,Tuyên Quang,"10k, Quốc lộ 4C, Đoàn Kết, Sủng Là, Xã Sà Phìn, Tỉnh Tuyên Quang, Việt Nam",None,None,ticket,23.2260945,105.2027686
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, ĐH.15, Mã Sồ, Ma Lé, Xã Lũng Cú, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.2795304,105.2744528
None,fuel,Tuyên Quang,"Đường Lũng Cú Mới, Cẳng Tằng, Thèn Pả, Lũng Cú, Xã Lũng Cú, Tỉnh Tuyên Quang, Việt Nam",None,None,fuel,23.3636751,105.3236192
